"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2023","13001","Appling County","18,035","3,811","3,100 to 4,522","21.1","17.2 to 25.0"
"2023","13003","Atkinson County","8,242","1,850","1,426 to 2,274","22.4","17.3 to 27.5"
"2023","13005","Bacon County","10,704","2,446","1,947 to 2,945","22.9","18.2 to 27.6"
"2023","13007","Baker County","2,734","717","559 to 875","26.2","20.4 to 32.0"
"2023","13009","Baldwin County","38,482","8,231","6,579 to 9,883","21.4","17.1 to 25.7"
"2023","13011","Banks County","19,725","2,400","1,867 to 2,933","12.2","9.5 to 14.9"
"2023","13013","Barrow County","92,191","10,351","8,748 to 11,954","11.2","9.5 to 12.9"
"2023","13015","Bartow County","113,818","11,004","8,607 to 13,401","9.7","7.6 to 11.8"
"2023","13017","Ben Hill County","16,771","4,096","3,274 to 4,918","24.4","19.5 to 29.3"
"2023","13019","Berrien County","18,383","3,458","2,720 to 4,196","18.8","14.8 to 22.8"
"2023","13021","Bibb County","151,465","33,515","29,133 to 37,897","22.1","19.2 to 25.0"
"2023","13023","Bleckley County","11,575","2,111","1,642 to 2,580","18.2","14.2 to 22.2"
"2023","13025","Brantley County","18,270","3,246","2,544 to 3,948","17.8","14.0 to 21.6"
"2023","13027","Brooks County","15,945","3,642","2,838 to 4,446","22.8","17.8 to 27.8"
"2023","13029","Bryan County","49,460","4,055","3,123 to 4,987","8.2","6.3 to 10.1"
"2023","13031","Bulloch County","78,306","18,529","16,220 to 20,838","23.7","20.8 to 26.6"
"2023","13033","Burke County","24,173","5,114","3,924 to 6,304","21.2","16.3 to 26.1"
"2023","13035","Butts County","23,905","3,700","2,873 to 4,527","15.5","12.0 to 19.0"
"2023","13037","Calhoun County","3,772","1,338","1,014 to 1,662","35.5","26.9 to 44.1"
"2023","13039","Camden County","55,741","6,459","5,283 to 7,635","11.6","9.5 to 13.7"
"2023","13043","Candler County","10,737","2,311","1,795 to 2,827","21.5","16.7 to 26.3"
"2023","13045","Carroll County","123,699","17,710","14,420 to 21,000","14.3","11.6 to 17.0"
"2023","13047","Catoosa County","68,255","7,314","5,785 to 8,843","10.7","8.5 to 12.9"
"2023","13049","Charlton County","10,392","2,727","2,165 to 3,289","26.2","20.8 to 31.6"
"2023","13051","Chatham County","290,391","44,111","37,889 to 50,333","15.2","13.1 to 17.3"
"2023","13053","Chattahoochee County","6,533","1,067","810 to 1,324","16.3","12.4 to 20.2"
"2023","13055","Chattooga County","23,926","4,958","4,023 to 5,893","20.7","16.8 to 24.6"
"2023","13057","Cherokee County","284,182","18,708","15,566 to 21,850","6.6","5.5 to 7.7"
"2023","13059","Clarke County","118,693","28,637","25,317 to 31,957","24.1","21.3 to 26.9"
"2023","13061","Clay County","2,793","736","567 to 905","26.4","20.3 to 32.5"
"2023","13063","Clayton County","292,420","50,474","42,778 to 58,170","17.3","14.7 to 19.9"
"2023","13065","Clinch County","6,652","1,552","1,250 to 1,854","23.3","18.8 to 27.8"
"2023","13067","Cobb County","765,204","67,115","59,010 to 75,220","8.8","7.7 to 9.9"
"2023","13069","Coffee County","40,349","9,093","7,353 to 10,833","22.5","18.2 to 26.8"
"2023","13071","Colquitt County","45,349","10,601","9,158 to 12,044","23.4","20.2 to 26.6"
"2023","13073","Columbia County","163,766","11,211","9,077 to 13,345","6.8","5.5 to 8.1"
"2023","13075","Cook County","17,439","3,469","2,719 to 4,219","19.9","15.6 to 24.2"
"2023","13077","Coweta County","154,778","15,250","12,756 to 17,744","9.9","8.3 to 11.5"
"2023","13079","Crawford County","12,158","1,925","1,456 to 2,394","15.8","11.9 to 19.7"
"2023","13081","Crisp County","19,167","4,981","3,951 to 6,011","26.0","20.6 to 31.4"
"2023","13083","Dade County","15,613","2,209","1,763 to 2,655","14.1","11.2 to 17.0"
"2023","13085","Dawson County","31,518","2,534","1,967 to 3,101","8.0","6.2 to 9.8"
"2023","13087","Decatur County","28,097","6,274","4,927 to 7,621","22.3","17.5 to 27.1"
"2023","13089","DeKalb County","749,408","100,015","88,146 to 111,884","13.3","11.7 to 14.9"
"2023","13091","Dodge County","17,945","4,221","3,417 to 5,025","23.5","19.0 to 28.0"
"2023","13093","Dooly County","9,191","2,068","1,489 to 2,647","22.5","16.2 to 28.8"
"2023","13095","Dougherty County","79,941","21,140","17,967 to 24,313","26.4","22.4 to 30.4"
"2023","13097","Douglas County","147,988","17,596","14,493 to 20,699","11.9","9.8 to 14.0"
"2023","13099","Early County","10,356","2,642","2,088 to 3,196","25.5","20.2 to 30.8"
"2023","13101","Echols County","3,688","796","604 to 988","21.6","16.4 to 26.8"
"2023","13103","Effingham County","70,971","6,032","4,733 to 7,331","8.5","6.7 to 10.3"
"2023","13105","Elbert County","19,748","3,558","2,759 to 4,357","18.0","14.0 to 22.0"
"2023","13107","Emanuel County","21,649","5,657","4,609 to 6,705","26.1","21.3 to 30.9"
"2023","13109","Evans County","10,112","2,399","1,880 to 2,918","23.7","18.6 to 28.8"
"2023","13111","Fannin County","25,838","3,594","2,829 to 4,359","13.9","10.9 to 16.9"
"2023","13113","Fayette County","122,511","7,065","5,464 to 8,666","5.8","4.5 to 7.1"
"2023","13115","Floyd County","95,998","16,361","13,742 to 18,980","17.0","14.3 to 19.7"
"2023","13117","Forsyth County","271,213","13,783","11,477 to 16,089","5.1","4.2 to 6.0"
"2023","13119","Franklin County","23,975","4,050","3,286 to 4,814","16.9","13.7 to 20.1"
"2023","13121","Fulton County","1,047,709","136,621","123,199 to 150,043","13.0","11.7 to 14.3"
"2023","13123","Gilmer County","32,555","4,439","3,503 to 5,375","13.6","10.7 to 16.5"
"2023","13125","Glascock County","2,891","453","346 to 560","15.7","12.0 to 19.4"
"2023","13127","Glynn County","84,138","13,245","11,019 to 15,471","15.7","13.1 to 18.3"
"2023","13129","Gordon County","59,077","7,593","6,114 to 9,072","12.9","10.4 to 15.4"
"2023","13131","Grady County","25,878","5,110","4,064 to 6,156","19.7","15.7 to 23.7"
"2023","13133","Greene County","20,605","2,899","2,245 to 3,553","14.1","10.9 to 17.3"
"2023","13135","Gwinnett County","975,728","111,168","101,890 to 120,446","11.4","10.4 to 12.4"
"2023","13137","Habersham County","45,927","6,221","5,057 to 7,385","13.5","11.0 to 16.0"
"2023","13139","Hall County","215,151","23,740","20,215 to 27,265","11.0","9.4 to 12.6"
"2023","13141","Hancock County","7,348","2,226","1,695 to 2,757","30.3","23.1 to 37.5"
"2023","13143","Haralson County","31,764","5,185","4,241 to 6,129","16.3","13.3 to 19.3"
"2023","13145","Harris County","36,138","3,091","2,410 to 3,772","8.6","6.7 to 10.5"
"2023","13147","Hart County","26,806","3,984","3,135 to 4,833","14.9","11.7 to 18.1"
"2023","13149","Heard County","11,887","1,964","1,519 to 2,409","16.5","12.8 to 20.2"
"2023","13151","Henry County","252,752","26,087","22,162 to 30,012","10.3","8.7 to 11.9"
"2023","13153","Houston County","169,853","21,823","18,170 to 25,476","12.8","10.6 to 15.0"
"2023","13155","Irwin County","8,847","1,719","1,316 to 2,122","19.4","14.9 to 23.9"
"2023","13157","Jackson County","87,890","7,295","5,671 to 8,919","8.3","6.5 to 10.1"
"2023","13159","Jasper County","16,349","2,426","1,941 to 2,911","14.8","11.8 to 17.8"
"2023","13161","Jeff Davis County","14,817","2,920","2,275 to 3,565","19.7","15.3 to 24.1"
"2023","13163","Jefferson County","14,679","3,296","2,547 to 4,045","22.5","17.4 to 27.6"
"2023","13165","Jenkins County","7,472","2,161","1,635 to 2,687","28.9","21.9 to 35.9"
"2023","13167","Johnson County","7,416","1,945","1,468 to 2,422","26.2","19.8 to 32.6"
"2023","13169","Jones County","28,606","3,631","2,859 to 4,403","12.7","10.0 to 15.4"
"2023","13171","Lamar County","19,618","2,783","2,202 to 3,364","14.2","11.2 to 17.2"
"2023","13173","Lanier County","10,066","1,758","1,331 to 2,185","17.5","13.3 to 21.7"
"2023","13175","Laurens County","49,106","9,418","7,676 to 11,160","19.2","15.7 to 22.7"
"2023","13177","Lee County","32,956","2,975","2,188 to 3,762","9.0","6.6 to 11.4"
"2023","13179","Liberty County","64,574","10,488","8,550 to 12,426","16.2","13.2 to 19.2"
"2023","13181","Lincoln County","7,856","1,185","913 to 1,457","15.1","11.6 to 18.6"
"2023","13183","Long County","19,232","2,913","2,331 to 3,495","15.1","12.1 to 18.1"
"2023","13185","Lowndes County","115,749","22,576","19,059 to 26,093","19.5","16.5 to 22.5"
"2023","13187","Lumpkin County","31,387","4,735","3,986 to 5,484","15.1","12.7 to 17.5"
"2023","13189","McDuffie County","21,573","4,128","3,205 to 5,051","19.1","14.8 to 23.4"
"2023","13191","McIntosh County","11,425","2,142","1,677 to 2,607","18.7","14.6 to 22.8"
"2023","13193","Macon County","9,784","3,093","2,468 to 3,718","31.6","25.2 to 38.0"
"2023","13195","Madison County","32,002","4,176","3,324 to 5,028","13.0","10.3 to 15.7"
"2023","13197","Marion County","7,354","1,780","1,449 to 2,111","24.2","19.7 to 28.7"
"2023","13199","Meriwether County","20,797","3,317","2,479 to 4,155","15.9","11.9 to 19.9"
"2023","13201","Miller County","5,590","1,180","904 to 1,456","21.1","16.2 to 26.0"
"2023","13205","Mitchell County","19,737","4,698","3,599 to 5,797","23.8","18.2 to 29.4"
"2023","13207","Monroe County","29,177","3,408","2,641 to 4,175","11.7","9.1 to 14.3"
"2023","13209","Montgomery County","8,029","1,663","1,278 to 2,048","20.7","15.9 to 25.5"
"2023","13211","Morgan County","21,235","2,380","1,818 to 2,942","11.2","8.6 to 13.8"
"2023","13213","Murray County","40,671","5,870","4,583 to 7,157","14.4","11.2 to 17.6"
"2023","13215","Muscogee County","196,491","40,634","35,719 to 45,549","20.7","18.2 to 23.2"
"2023","13217","Newton County","118,396","14,027","11,122 to 16,932","11.8","9.3 to 14.3"
"2023","13219","Oconee County","43,971","3,286","2,749 to 3,823","7.5","6.3 to 8.7"
"2023","13221","Oglethorpe County","15,642","2,053","1,588 to 2,518","13.1","10.1 to 16.1"
"2023","13223","Paulding County","182,040","14,053","11,204 to 16,902","7.7","6.1 to 9.3"
"2023","13225","Peach County","27,488","4,757","3,704 to 5,810","17.3","13.5 to 21.1"
"2023","13227","Pickens County","35,702","3,601","2,867 to 4,335","10.1","8.0 to 12.2"
"2023","13229","Pierce County","20,265","3,274","2,561 to 3,987","16.2","12.7 to 19.7"
"2023","13231","Pike County","20,160","2,248","1,840 to 2,656","11.2","9.2 to 13.2"
"2023","13233","Polk County","43,789","7,571","6,101 to 9,041","17.3","13.9 to 20.7"
"2023","13235","Pulaski County","8,775","2,017","1,592 to 2,442","23.0","18.2 to 27.8"
"2023","13237","Putnam County","22,959","3,582","2,862 to 4,302","15.6","12.5 to 18.7"
"2023","13239","Quitman County","2,274","539","408 to 670","23.7","17.9 to 29.5"
"2023","13241","Rabun County","17,233","2,242","1,761 to 2,723","13.0","10.2 to 15.8"
"2023","13243","Randolph County","5,919","1,581","1,218 to 1,944","26.7","20.6 to 32.8"
"2023","13245","Richmond County","194,506","43,227","37,964 to 48,490","22.2","19.5 to 24.9"
"2023","13247","Rockdale County","94,963","12,310","9,931 to 14,689","13.0","10.5 to 15.5"
"2023","13249","Schley County","4,515","693","530 to 856","15.3","11.7 to 18.9"
"2023","13251","Screven County","13,904","3,133","2,492 to 3,774","22.5","17.9 to 27.1"
"2023","13253","Seminole County","8,956","1,998","1,512 to 2,484","22.3","16.9 to 27.7"
"2023","13255","Spalding County","68,984","11,253","8,964 to 13,542","16.3","13.0 to 19.6"
"2023","13257","Stephens County","26,380","4,110","3,215 to 5,005","15.6","12.2 to 19.0"
"2023","13259","Stewart County","3,893","1,265","1,016 to 1,514","32.5","26.1 to 38.9"
"2023","13261","Sumter County","27,279","7,187","5,834 to 8,540","26.3","21.3 to 31.3"
"2023","13263","Talbot County","5,705","1,558","1,289 to 1,827","27.3","22.6 to 32.0"
"2023","13265","Taliaferro County","1,585","389","299 to 479","24.5","18.8 to 30.2"
"2023","13267","Tattnall County","20,142","5,177","4,153 to 6,201","25.7","20.6 to 30.8"
"2023","13269","Taylor County","7,604","2,025","1,677 to 2,373","26.6","22.0 to 31.2"
"2023","13271","Telfair County","9,267","2,793","2,223 to 3,363","30.1","23.9 to 36.3"
"2023","13273","Terrell County","8,402","2,361","1,864 to 2,858","28.1","22.2 to 34.0"
"2023","13275","Thomas County","45,106","8,318","6,800 to 9,836","18.4","15.0 to 21.8"
"2023","13277","Tift County","40,465","7,785","6,260 to 9,310","19.2","15.4 to 23.0"
"2023","13279","Toombs County","26,667","6,092","4,963 to 7,221","22.8","18.6 to 27.0"
"2023","13281","Towns County","12,439","1,446","1,113 to 1,779","11.6","8.9 to 14.3"
"2023","13283","Treutlen County","5,940","1,423","1,082 to 1,764","24.0","18.3 to 29.7"
"2023","13285","Troup County","69,414","12,539","10,521 to 14,557","18.1","15.2 to 21.0"
"2023","13287","Turner County","8,740","2,085","1,602 to 2,568","23.9","18.4 to 29.4"
"2023","13289","Twiggs County","7,580","1,614","1,237 to 1,991","21.3","16.3 to 26.3"
"2023","13291","Union County","26,554","2,846","2,179 to 3,513","10.7","8.2 to 13.2"
"2023","13293","Upson County","27,809","4,868","3,811 to 5,925","17.5","13.7 to 21.3"
"2023","13295","Walker County","68,024","10,248","8,490 to 12,006","15.1","12.5 to 17.7"
"2023","13297","Walton County","105,508","10,622","8,506 to 12,738","10.1","8.1 to 12.1"
"2023","13299","Ware County","33,953","6,757","5,166 to 8,348","19.9","15.2 to 24.6"
"2023","13301","Warren County","5,042","1,222","935 to 1,509","24.2","18.5 to 29.9"
"2023","13303","Washington County","17,946","3,878","2,941 to 4,815","21.6","16.4 to 26.8"
"2023","13305","Wayne County","29,321","5,785","4,685 to 6,885","19.7","15.9 to 23.5"
"2023","13307","Webster County","2,333","484","374 to 594","20.7","16.0 to 25.4"
"2023","13309","Wheeler County","4,970","1,804","1,392 to 2,216","36.3","28.0 to 44.6"
"2023","13311","White County","28,279","3,067","2,349 to 3,785","10.8","8.3 to 13.3"
"2023","13313","Whitfield County","102,657","15,961","13,768 to 18,154","15.5","13.4 to 17.6"
"2023","13315","Wilcox County","6,693","1,903","1,439 to 2,367","28.4","21.5 to 35.3"
"2023","13317","Wilkes County","9,392","1,668","1,258 to 2,078","17.8","13.4 to 22.2"
"2023","13319","Wilkinson County","8,594","1,768","1,405 to 2,131","20.6","16.4 to 24.8"
"2023","13321","Worth County","20,081","4,302","3,531 to 5,073","21.4","17.6 to 25.2"
"2022","13001","Appling County","17,982","3,644","2,877 to 4,411","20.3","16.0 to 24.6"
"2022","13003","Atkinson County","8,140","1,717","1,287 to 2,147","21.1","15.8 to 26.4"
"2022","13005","Bacon County","10,832","2,485","1,945 to 3,025","22.9","17.9 to 27.9"
"2022","13007","Baker County","2,779","599","435 to 763","21.6","15.7 to 27.5"
"2022","13009","Baldwin County","38,441","9,253","7,704 to 10,802","24.1","20.1 to 28.1"
"2022","13011","Banks County","19,259","2,328","1,780 to 2,876","12.1","9.3 to 14.9"
"2022","13013","Barrow County","88,693","8,282","6,549 to 10,015","9.3","7.3 to 11.3"
"2022","13015","Bartow County","111,611","11,545","9,089 to 14,001","10.3","8.1 to 12.5"
"2022","13017","Ben Hill County","16,772","4,489","3,783 to 5,195","26.8","22.6 to 31.0"
"2022","13019","Berrien County","18,029","3,947","3,280 to 4,614","21.9","18.2 to 25.6"
"2022","13021","Bibb County","151,097","34,064","29,058 to 39,070","22.5","19.2 to 25.8"
"2022","13023","Bleckley County","11,412","1,862","1,375 to 2,349","16.3","12.0 to 20.6"
"2022","13025","Brantley County","18,060","2,928","2,176 to 3,680","16.2","12.0 to 20.4"
"2022","13027","Brooks County","15,955","4,067","3,253 to 4,881","25.5","20.4 to 30.6"
"2022","13029","Bryan County","48,012","3,864","2,955 to 4,773","8.0","6.1 to 9.9"
"2022","13031","Bulloch County","76,914","18,278","15,793 to 20,763","23.8","20.6 to 27.0"
"2022","13033","Burke County","24,108","5,264","4,106 to 6,422","21.8","17.0 to 26.6"
"2022","13035","Butts County","23,543","3,119","2,266 to 3,972","13.2","9.6 to 16.8"
"2022","13037","Calhoun County","3,779","1,282","954 to 1,610","33.9","25.2 to 42.6"
"2022","13039","Camden County","54,593","6,772","5,583 to 7,961","12.4","10.2 to 14.6"
"2022","13043","Candler County","10,696","1,974","1,402 to 2,546","18.5","13.2 to 23.8"
"2022","13045","Carroll County","121,141","15,981","12,751 to 19,211","13.2","10.5 to 15.9"
"2022","13047","Catoosa County","68,178","7,508","5,920 to 9,096","11.0","8.7 to 13.3"
"2022","13049","Charlton County","10,257","2,345","1,749 to 2,941","22.9","17.1 to 28.7"
"2022","13051","Chatham County","288,125","45,884","39,878 to 51,890","15.9","13.8 to 18.0"
"2022","13053","Chattahoochee County","6,608","1,029","759 to 1,299","15.6","11.5 to 19.7"
"2022","13055","Chattooga County","23,662","4,271","3,336 to 5,206","18.1","14.1 to 22.1"
"2022","13057","Cherokee County","278,944","15,654","12,298 to 19,010","5.6","4.4 to 6.8"
"2022","13059","Clarke County","119,150","31,580","27,867 to 35,293","26.5","23.4 to 29.6"
"2022","13061","Clay County","2,785","700","528 to 872","25.1","18.9 to 31.3"
"2022","13063","Clayton County","292,446","42,575","34,999 to 50,151","14.6","12.0 to 17.2"
"2022","13065","Clinch County","6,570","1,410","1,122 to 1,698","21.5","17.1 to 25.9"
"2022","13067","Cobb County","760,735","61,108","51,914 to 70,302","8.0","6.8 to 9.2"
"2022","13069","Coffee County","40,067","7,959","6,054 to 9,864","19.9","15.1 to 24.7"
"2022","13071","Colquitt County","44,903","10,128","8,428 to 11,828","22.6","18.8 to 26.4"
"2022","13073","Columbia County","161,085","11,298","9,244 to 13,352","7.0","5.7 to 8.3"
"2022","13075","Cook County","17,134","3,527","2,705 to 4,349","20.6","15.8 to 25.4"
"2022","13077","Coweta County","151,757","11,387","8,829 to 13,945","7.5","5.8 to 9.2"
"2022","13079","Crawford County","12,020","2,034","1,539 to 2,529","16.9","12.8 to 21.0"
"2022","13081","Crisp County","19,240","4,833","3,659 to 6,007","25.1","19.0 to 31.2"
"2022","13083","Dade County","15,469","1,745","1,244 to 2,246","11.3","8.1 to 14.5"
"2022","13085","Dawson County","29,929","2,398","1,812 to 2,984","8.0","6.0 to 10.0"
"2022","13087","Decatur County","28,109","6,363","4,896 to 7,830","22.6","17.4 to 27.8"
"2022","13089","DeKalb County","750,079","101,463","87,620 to 115,306","13.5","11.7 to 15.3"
"2022","13091","Dodge County","18,009","4,391","3,514 to 5,268","24.4","19.5 to 29.3"
"2022","13093","Dooly County","9,091","2,155","1,571 to 2,739","23.7","17.3 to 30.1"
"2022","13095","Dougherty County","80,542","22,306","18,931 to 25,681","27.7","23.5 to 31.9"
"2022","13097","Douglas County","146,133","14,898","11,488 to 18,308","10.2","7.9 to 12.5"
"2022","13099","Early County","10,370","2,461","1,817 to 3,105","23.7","17.5 to 29.9"
"2022","13101","Echols County","3,666","774","567 to 981","21.1","15.5 to 26.7"
"2022","13103","Effingham County","68,520","5,859","4,565 to 7,153","8.6","6.7 to 10.5"
"2022","13105","Elbert County","19,553","3,171","2,304 to 4,038","16.2","11.8 to 20.6"
"2022","13107","Emanuel County","21,574","4,490","3,309 to 5,671","20.8","15.3 to 26.3"
"2022","13109","Evans County","10,099","2,186","1,598 to 2,774","21.6","15.8 to 27.4"
"2022","13111","Fannin County","25,621","2,932","2,135 to 3,729","11.4","8.3 to 14.5"
"2022","13113","Fayette County","121,265","7,155","5,661 to 8,649","5.9","4.7 to 7.1"
"2022","13115","Floyd County","95,350","14,366","11,638 to 17,094","15.1","12.2 to 18.0"
"2022","13117","Forsyth County","265,628","10,836","8,134 to 13,538","4.1","3.1 to 5.1"
"2022","13119","Franklin County","23,330","3,731","2,998 to 4,464","16.0","12.9 to 19.1"
"2022","13121","Fulton County","1,044,021","133,088","118,706 to 147,470","12.7","11.3 to 14.1"
"2022","13123","Gilmer County","32,111","4,480","3,536 to 5,424","14.0","11.1 to 16.9"
"2022","13125","Glascock County","2,881","400","289 to 511","13.9","10.0 to 17.8"
"2022","13127","Glynn County","83,167","11,354","8,919 to 13,789","13.7","10.8 to 16.6"
"2022","13129","Gordon County","58,282","6,721","5,166 to 8,276","11.5","8.8 to 14.2"
"2022","13131","Grady County","25,829","5,587","4,507 to 6,667","21.6","17.4 to 25.8"
"2022","13133","Greene County","20,023","2,716","1,989 to 3,443","13.6","10.0 to 17.2"
"2022","13135","Gwinnett County","968,118","86,107","76,311 to 95,903","8.9","7.9 to 9.9"
"2022","13137","Habersham County","44,877","6,213","4,979 to 7,447","13.8","11.1 to 16.5"
"2022","13139","Hall County","210,560","24,679","21,151 to 28,207","11.7","10.0 to 13.4"
"2022","13141","Hancock County","7,219","1,912","1,405 to 2,419","26.5","19.5 to 33.5"
"2022","13143","Haralson County","31,070","4,682","3,625 to 5,739","15.1","11.7 to 18.5"
"2022","13145","Harris County","35,786","3,235","2,531 to 3,939","9.0","7.0 to 11.0"
"2022","13147","Hart County","26,169","3,711","2,820 to 4,602","14.2","10.8 to 17.6"
"2022","13149","Heard County","11,578","1,727","1,290 to 2,164","14.9","11.1 to 18.7"
"2022","13151","Henry County","247,241","19,857","15,992 to 23,722","8.0","6.4 to 9.6"
"2022","13153","Houston County","167,755","17,991","14,055 to 21,927","10.7","8.4 to 13.0"
"2022","13155","Irwin County","8,796","1,676","1,240 to 2,112","19.1","14.1 to 24.1"
"2022","13157","Jackson County","83,249","6,088","4,381 to 7,795","7.3","5.2 to 9.4"
"2022","13159","Jasper County","15,846","2,038","1,522 to 2,554","12.9","9.6 to 16.2"
"2022","13161","Jeff Davis County","14,802","2,995","2,335 to 3,655","20.2","15.7 to 24.7"
"2022","13163","Jefferson County","14,818","3,511","2,748 to 4,274","23.7","18.6 to 28.8"
"2022","13165","Jenkins County","7,430","2,070","1,528 to 2,612","27.9","20.6 to 35.2"
"2022","13167","Johnson County","7,456","2,033","1,565 to 2,501","27.3","21.0 to 33.6"
"2022","13169","Jones County","28,135","3,243","2,462 to 4,024","11.5","8.7 to 14.3"
"2022","13171","Lamar County","18,820","2,442","1,833 to 3,051","13.0","9.8 to 16.2"
"2022","13173","Lanier County","9,795","1,878","1,456 to 2,300","19.2","14.9 to 23.5"
"2022","13175","Laurens County","48,826","10,450","8,817 to 12,083","21.4","18.1 to 24.7"
"2022","13177","Lee County","32,757","3,360","2,590 to 4,130","10.3","7.9 to 12.7"
"2022","13179","Liberty County","63,434","9,160","7,121 to 11,199","14.4","11.2 to 17.6"
"2022","13181","Lincoln County","7,806","1,201","898 to 1,504","15.4","11.5 to 19.3"
"2022","13183","Long County","18,001","2,550","1,906 to 3,194","14.2","10.6 to 17.8"
